Title,Recommendations
The Legend of Zelda: Ocarina of Time,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
Tony Hawk's Pro Skater 2,"['The Legend of Zelda: Breath of the Wild', 'The Witcher 3: Wild Hunt', 'BioShock Infinite', 'Bloodborne', 'Grand Theft Auto V']"
Grand Theft Auto IV,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'The Last of Us', 'The Legend of Zelda: Breath of the Wild']"
SoulCalibur,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'The Elder Scrolls V: Skyrim', 'The Last of Us']"
Super Mario Galaxy,"['Super Mario 3D World', 'Super Mario Odyssey', 'Super Mario Galaxy 2', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""']"
Super Mario Galaxy 2,"['Super Mario Odyssey', 'Super Mario 3D World', 'Super Mario Galaxy', 'Super Mario 64', 'Mass Effect 3']"
Grand Theft Auto V,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Portal 2']"
The Legend of Zelda: Breath of the Wild,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Grand Theft Auto V']"
Tony Hawk's Pro Skater 3,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'BioShock Infinite', 'Grand Theft Auto V']"
Perfect Dark,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Legend of Zelda: Breath of the Wild', 'Grand Theft Auto V']"
